,tweet,label,pred
20,"@NikkiHaley @pfizer @realDonaldTrump Nothing to do with Trump. Delete tweet, you look foolish.",1,0
21,"@abcnews Covid19 vaccine ingredients need to be know. Does it contain DNA from monkey, swine, dog, human, or aluminium, formaldehyde, mercury and or other toxins?",0,1
22,A few hours of flu-like symptoms? 'Absolutely' worth it for this woman who was in a Covid-19 vaccine trial https://t.co/txSDxpJjnL,2,2
23,via @PerilofAfrica #News Moderna shares rise as investors await its COVID vaccine data: A surge in COVID-19 infections across the US is giving pharmaceutical companies working on vaccines the data they need. https://t.co/mDO3xiV539 https://t.co/ap6zO5Wmtk,1,1
24,Iran preparing to unveil human coronavirus vaccines soon https://t.co/byEvAJz8hJ https://t.co/RjGBIQfXbV,1,1
25,"While we still have some time before the #vaccine is approved for use, this is definitely good news. It now appears that the vaccine against the dreaded #COVID19  is closer than ever.",2,2
26,Good News: Pfizer COVID-19 vaccine 90 percent effective in phase 3 https://t.co/cXb4WUZ0VV,2,1
27,Great thread by @nataliexdean about today's Moderna vaccine news https://t.co/IVqszNrFxm,1,2
28,This vaccine is fake fake why do you want to kill more people Bihari why send it back to who ever sent it to you fuck you Buhari https://t.co/LRkKZ9rKQx,0,0
29,"An 80% uptake of a COVID-19 vaccine may be needed to protect communities from the novel coronavirus, but volatile levels of misinformation and vaccine mistrust could undermine efforts to tackle the pandemic, British scientists said on Tuesday. READ: https://t.co/6WcjLJ7DGC https://t.co/t5UKcebm1F",1,0
30,"Doris going out raving. 

""A 90-year-old UK woman becomes the first in the world to receive a COVID-19 vaccine outside of trial""  https://t.co/rGDrMauSW1",1,2
31,"This is great news!
Pfizer says early analysis shows its Covid-19 vaccine is 90% effective. 
https://t.co/Jj5acjP6bF",2,2
32,@mmpadellan getting the Covid19 vaccine for me and my little family happy.,2,2
33,"Anyone, please help me out. My mum has been talking crazy about the vaccine for Covid-19. Idiot la diaorg yang share benda merepek kat ws ni. Ish",1,0
34,"Good luck with that vaccine theory , mutation like this mean we cannot have a vaccine for a long time. https://t.co/eETt5NHkbe",2,1
35,Would you get the vaccine? https://t.co/eACgvcujUp,1,1
36,Let all politicians and their families be the first to take it. And then lets see how they are doing in 6 months or less. These vaccines take years to make and hopefully get it right! No way this has taken that long to make so i won’t be getting one and never will 🙄 https://t.co/PcFL4NXNZM,0,0
37,"Hailing 'turning point', Britain begins roll-out of Pfizer's COVID-19 vaccine https://t.co/GRovzD9WFU",1,1
38,Seeing the evil self-dealing fuckers who denied the significance of Covid being first to get a vaccine has me rearranging the players on my Fantasy Bastille’s Team Guillotine and Team Bayonet.,2,0
39,@prazeredieta @FrankMeierCBS @pfizer @BioNTech_Group @realDonaldTrump I thought Donald was immune .  He said do not fear covid.   Why do we need a vaccine then ?  HOW DARE YOU !,2,0
40,"Great news: A vaccine which can prevent nine out of 10 people getting Covid-19 is set to be put forward for emergency approval.

https://t.co/Zl1LXmhDO3

In case of any questions or if you need any assistance, please contact us via: https://t.co/BhthkRPYK4 https://t.co/HAfA618kOt",2,1
41,@HKrassenstein BREAKING: Biden will have NOTHING to do with any vaccine for covid-19,1,1
42,@MorlockP I won't take the coronavirus vaccine unless I can smoke it using Hunter's pipe.,0,1
43,We won’t win the fight against Covid if we deal with Covid in our country unless we deal with it everywhere in the world. It is a welcoming knowing the is effective vaccines but we need it every where in the world.,2,1
44,"Getting better all the time – A second, better, vaccine against covid-19 arrives https://t.co/K92T6fUFCn",2,2
45,Some good news today for the health of our population AND economy... @pfizer announced that an early analysis of its coronavirus vaccine trials suggested that it was more than 90% effective in preventing the disease.,2,2
46,"My sister: I hear they are going to inject tracking chips with the COVID-19 vaccine

Me: Why the fuck would they do that when everyone willingly carries a phone, a literal tracking device, everywhere with them already? And face recognition is so damn good??

Her: Oh yeah. True...",2,0
47,Bc it takes a long ass time to produce BILLIONS of vials of the vaccine. Its not just Americans receiving the vaccine - its literally billions of people. And its something that can't be done quickly. The coronavirus is what it is. Its not mutating. We know how to study &amp; work,1,0
48,$PFE $BNTX $MRNA - U.S. aims to release 6.4M COVID-19 vaccine doses in first tranche - Reuters https://t.co/FLJzA17oVQ Great Dividend Stock BUY PFE !,1,1
49,"The beginning of the end of COVID. 

Highly effective vaccines with no safety concerns.  https://t.co/Y73XKCdLnx",2,2
50,@DeAnna4Congress @realDonaldTrump Oh the world can really count on us to lead! Nothing says “U can count on us” more than a POTUS suggesting that injecting disinfectant cleaners or bleach into our bodies may be a possible vaccine for Covid-19...U gonna follow his lead on that 1?,2,0
51,"@NigelKellow 7) I won’t know what else is in the vaccine. What adjuvants and preservatives are there that could do harm
8) I don’t want manipulated dna of dog, monkey or aborted foetus’ in me
9) there has never been a successful coronavirus vaccine despite 20+ yrs of trying",0,0
52,"Pfizer’s coronavirus vaccine is more than 90 percent effective in first analysis, company reports https://t.co/floWGVTreo",1,1
53,"@BOGRO06 @talkRADIO @THEJamesWhale @BrexitAlex Why get a vaccine that is around 90% effective, for a disease with a 99.5% or more survival rate and when we have an immune system that is 99.9% effective?  The vaccine cannot possibly be for Covid-19 as they have not isolated or quantified the original virus.",0,0
54,"I was still revelling in the wonderful novelty of good news - Joe Biden winning the US presidency and the prospect of a Covid-19 vaccine in quick succession. And then John Major suggests that we have not just one more referendum on independence, but two. 😭🇬🇧",2,2
55,"@makmcguire @dabeardedbastrd @rebeccaabrook Note: Pfizer stated categorically, that Trump didn't have any impact on their vaccine, which was developed by a German pharmaceutical company, BioNTech.",1,1
56,".@CDC's ACIP panel has entered the final stages of its meeting about who gets the #COVID19 vaccine first and is preparing to vote. https://t.co/DxqryIXNeu

See below for the current order up for the vote. 

HCP = health-care personnel; LTCF = long-term care facility. https://t.co/tUCcXpIMti",1,1
57,"Not interested in vaccine either. Would rather be infected than risk a fast tracked vaccine.

I read up on nanospheres. Thought provoking technology ripe for criminal abuse.

2020 taught me a lot. Do not trust the govt, staying out of the Justice system is paramount https://t.co/zgkAPEqmEK",0,0
58,"I trust the very intelligent scientists who've manufactured The Oxford vaccine, this is amazing news, during the Astrozenca trials nobody was hospitalised, that is great news too, science has/is coming to our rescue, we will finally defeat #COVID19",2,2
59,"Having a vaccine for Covid-19 is not only reassuring but a breath of fresh air. The only thing which concerns me is mandatory vaccines.

We have to ensure that the rights of those who wish not to take it; be respected. Forced vaccinations is totally against our human rights!
#PPC https://t.co/7BBQXc6agO",0,0
60,.@GabbyLandsverk gave us a dose of reality on Pfizer's vaccine news: we still won't be celebrating Christmas (or even Easter) as usual.  https://t.co/JfRcjhYDI6,1,0
61,"It's amazing! One year from disease emergence to many vaccines. Two at 95%

There is light at the end of the tunnel https://t.co/DW0wcGnNch",2,2
62,Pfizer's COVID-19 Vaccine News Throws Bitcoin Rally Off Course $PFE $BTC $ETH $XRP $LTC   https://t.co/ieE79DeiTg,1,1
63,"Encouraging news about #Covid19 vaccine today... then the man responsible for delivering it to the right people quickly, Spaffer Johnson, comes over the hill w/ his clunky metaphors about cavalry &amp; tooting bugles &amp; ""over to the Brigadier"" #ToryShambles #BorisJohnson #arewefucked?",2,0
64,"COVID-19 – Good news on the horizon, but UN experts decry COVID vaccine hoarding: ‘No one is secure until all of us are’ https://t.co/2rCBDPri53 https://t.co/sVJ6pOJx6R",2,1
65,@bikhim Brazil halts trials of Chinese COVID-19 vaccine - Al Jazeera English https://t.co/8r4cdqFBii via @GoogleNews,1,1
66,@vespasian91 @mongibellus @DaveKeating Very nice but where is the evidence on the relative prices paid for Covid-19 vaccination?,1,1
67,Thank you so much for sharing an important news that will not be relayed by western media... Just on the day of the announce of the pseudo Pfizer succes of 90%!,2,2
68,"Fingers crossed that this is confirmed in the review of data

Pfizer and BioNTech say their COVID-19 vaccine is more than 90% effective in trials - The Globe and Mail https://t.co/kX1Bm3GYfw",2,2
69,I can already hear y’all complaining about this vaccine 🥱 https://t.co/qXdSv1b6eN,2,0
70,"A safe, effective COVID-19 vaccination is finally on the horizon. Cue the people who say they won’t take it—or that vaccines are the harbingers of a dictatorship. https://t.co/J1xa1BOkuq",2,0
71,"@natoshisakamato @realDonaldTrump @pfizer @US_FDA So, you think that investing in a vaccine that might prevent, statistically as of today, 7.8 million deaths is not necessary? Should we call it ignorance, selfishness or just plain stupidity?",2,0
72,Covid-19 vaccine efficacy results are not enough https://t.co/123yzLpwAT via @voxdotcom,0,0
73,"fuck it, i’m gonna say it. when we get a covid-19 vaccine it should be free and mandatory for everyone, with exemptions only for people with medical conditions that make vaccination unsafe. and this should be the precedent in every country that’s had a covid-19 outbreak.",2,0
74,"After reading this, IMO, this vaccine has not been tested enough or long enough for me to want to take it. I'll pass.

Pfizer and BioNTech Announce Vaccine Candidate Against COVID-19 Achieved Success in First Interim Analysis from Phase 3 Study | Pfizer https://t.co/6WwdioNpQW",0,1
75,@IngrahamAngle I’m curious about the Pneumonia vaccines they give to the elderly.  Has anyone done a study on people that had the New 2019 4 in 1 Flu Shot compared to those that have not? Do the ones that got the 2019 flu shot test positive for Covid-19 compared to those that did not Dr. F?,1,1
76,"Yeah, no vaccine for me now, thanks. I'll wait and see. https://t.co/XfUu83BR3P",0,1
77,https://t.co/C64d64hi2l Still not taking it #Pfizer #COVID19 #coronavirus #coronavirusvaccine,0,0
78,"😹 #russia now saying their vax is ""90% effective"" ... no thanks, ill wear my mask, eat outdoors and hope for the best... russia can keep their vax

#Pfizervaccine $PFE #vaccine #Pfizer #coronavirus #investing #EmergingMarkets #investments https://t.co/nl1NN8lHuF",0,2
79,"@vonderleyen INTERPOL: COVID Vaccine Will Be “Liquid Gold” to Organized Crime
""High demand combined with a limited supply will make COVID-19 vaccines the equivalent of liquid gold to organized crime networks.""
https://t.co/55ufcWmf6h",2,1
80,Anyone else think chick-fil-a should handle #CovidVaccine distribution?,2,1
81,"#ICYMI: We hosted a research call with #fairleadstrategies’ @StocktonKatie on the #market’s reaction to the #2020election and #COVID19 vaccine news, while looking at $SPX &amp; more. If you were unable to attend, read the recap here: https://t.co/xXP88aGzbE",1,1
82,"continued: 

""it is not possible to retrofit the MHRA’s legacy systems to handle the #volume of ADRs [Adverse Drug Reactions] that will be generated by a #Covid19 #vaccine.""

Links:

1. https://t.co/TpLFy31V2T

2. https://t.co/IQmQVrmO8x",1,1
83,"While I'm greatly looking forward to a vaccine, I will miss wearing leggings and comfy sweaters everyday to work...

#vaccine #COVID19 @pfizer #workingfromhome https://t.co/QVzyIAQLnk",2,0
84,"turns out pfizer's CEO took advantage of insider knowledge to personally make 600k profit playing stocks over the vaccine, in case all the centrist dickheads who were gloating about how great private pharma companies the other day were wondering how it's going",0,0
85,"I’m willing to bet a lot of my own money the Philippines WON’T give a free COVID-19 vaccine to its people. Come back at me 🤣🤣🤣🤣 please, i dare anyone 🤣🤣 https://t.co/RFDHwimwJu",1,0
86,"@KellyQuilt I will gladly take any coronavirus vaccine approved by the @MHRAgovuk 

I’m a respiratory consultant at @CUH_NHS &amp; @RoyalPapworth &amp; I’m the professor of respiratory science at the University of Cambridge.

#DocsforVax",2,1
87,its a shame the covid vaccine is going to the brits first because the number one side effect is crooked teeth and increased nationalism,1,0
88,@realDonaldTrump Trump administration refused offer to buy millions more Pfizer vaccine doses https://t.co/86UbbPXCCF,1,0
89,i'd rather eat all my meals from the Whites &amp; Kingston 7/11 than take that vaccine https://t.co/SB7nqdswyI,0,0
90,"QANTAS to require passengers to have coronavirus vaccine for international travel. 
https://t.co/A0eZsPmfEV #qantas #covid19 #vaccine #coronavirus https://t.co/IbMgnlUjAs",1,1
91,Here's how a coronavirus vaccine could be distributed globally https://t.co/YjSulTzaaL via @YouTube,1,1
92,"AstraZeneca's Oxford coronavirus vaccine is 70% effective on average, data shows
https://t.co/bDoe79KRUd",1,1
93,Do you work in #socialcare? Can you help Researchers at the University of East Anglia investigating flu jab uptake to learn lessons for a #COVID19 vaccine? Find out more: https://t.co/bF9oqql9Wn https://t.co/7d8u0nVdYu,1,1
94,"Isn’t it amazing that at this time last year, there was no #CoronavirusPandemic and now we have not 1 but 2 vaccines that look to be extremely efficacious? https://t.co/4Aiu1QBlE9",2,0
95,Two doctors discuss the importance of getting the COVID-19 vaccine after one of them brought the virus home to his family  https://t.co/WjCRvuXzmk via @msnbc,2,1
96,@MAGAGIRL4LYF @pfizer Nothing is free. Not free college or anything else. We Victors pay the tab for the so called victims. 🤦‍♂️,1,0
97,"@marcus94543161 I’d say a hot bath, some lemon in water and an early night may be just as effective. Same as most people would do for any other coronavirus (cold). No need to waste taxpayers money on vaccines.",0,1
98,"Covid-19 vaccine co-developed by small German biotech firm BioNTech, started by a husband and wife team with Turkish roots, has been granted approval in UK. 

https://t.co/Ua5AoPWWby",1,1
99,@tedcruz This is just #TwinkieTed trying to distract from the fact that he doesn’t know anything about current COVID events. He won’t accept that the man that called his wife ugly refused to buy vaccines. As a member of Congress you would think he’d know better.,1,0
100,"Three cheers for medical research!
The possibility of a vaccination against COVID-19 is a reminder how far health care has improved. Let's make sure everyone can benefit.
Help fund research to develop a vaccine against Alzheimer's. £10
https://t.co/guzZRZtRrE https://t.co/99nFpApjYX",2,2
101,@IvankaTrump @WhiteHouse @realDonaldTrump No thanks we don't want your coronavirus vaccine give it back to your friends and family,0,0
102,"@PLDT_Cares  maybe, our LINE will be relocated when there is already an antidote to this COVID-19. i'll be happy if there's a vaccine for it,  but I'm afraid if our request would take that long.",2,0
103,"Trump’s Operation Warp Speed promised a flood of covid vaccines. Instead, states are expecting a trickle. https://t.co/Vfo7ohZdj6",1,1
104,"Great news for Germany because COVID-19 vaccine may come here before Christmas for health workers | इस देश के लिए आई बड़ी खुशखबरी, क्रिसमस से पहले आ सकती है COVID-19 वैक्सीन https://t.co/YB3zymZEkD",2,2
105,"Another amazing vaccine result, if this preliminary data holds up. https://t.co/4qc3XSoTCg",2,2
106,"Private or public health? CVS and Walgreens spearhead effort to vaccinate nursing home residents  against coronavirus 
https://t.co/gEwyXX7dL3",1,1
107,We’d never heard of coronavirus when work began on this tv series about the great plague. But the parallels are amazing. It’s an extraordinary story. And a even more watchable with the news of a vaccine today! Next Tuesday (17th!) 9pm @channel5_tv 😷🤒 ☣️ https://t.co/iRblcz2TOK,1,2
108,"Is it difficult to wear a #mask and maintain #distance to avoid #China 's  #COVID19? It's such a horrible #virus and the #treatment #costs can be unbearable.
If you wear a mask and maintain distance, you already have a #vaccine!",1,0
109,Ill only take the covid vaccine if there is trace amounts of heroin in it,1,1
110,"We're one step closer to getting a COVID-19 vaccine, so now it's time to talk about how people like you and I will finally get the shot.  I breakdown Florida's COVID-19 Vaccination Plan coming up on @FCN2go at 11.  https://t.co/aBTki5JKYi",2,2
111,"Trying to make sense of @AstraZeneca and @UniofOxford's #COVID19 #vaccine data? We talked to the #adenoviral vector vaccine experts to get some theories on why a low dose, followed by a high dose, would be better than two high doses. @cenmag  https://t.co/JJTHNj0GkM",1,1
112,"@Mike_Pence @realDonaldTrump @pfizer If anyone watched 60 Minutes this past Sunday, they’d see the Military strategy to get the virus out to millions of people and the General specifically says that Trump or Pence has nothing to do with their process or likely know anything about it.  Pence watched 60 Minutes",1,0
113,The vaccine will make people sicker. Don’t fuckin take it. https://t.co/kGFO1KdIb7,0,0
114,The first people in the #faroeislands have been given the Covid vaccine. Frontline health workers were first in line.  More:  https://t.co/VelUi4ZUFG  https://t.co/nqQJ2guN00,2,1
115,"Covid-19 vaccine from Pfizer and BioNTech is strongly effective, data show #thankYouTrump  #MAGA2020  ⁦@realDonaldTrump⁩   https://t.co/WRtPoLFoK9",1,2
116,"@zeynep ... 3-4 months supply of Biontech we have ordered.   There are 3m health and social workers in the UK, about half over 45. those should be the priority, given their exposure rates and the importance of keeping them healthy.",2,1
117,"Covid vaccine: First vaccine offers 90% protection

🙏🏼 🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼

Let’s hope this is the beginning of the end...... 

#vaccines #COVID19  https://t.co/Bv66POmOEc",2,2
118,For this to qualify as a vaccine it would have to be tested for five years plus. And personally I ain't takin' nuthin' of this magnitude unless the drugs company itself has the guts to shoulder its liabilities. https://t.co/HNNI9DMwTv,0,0
119,Fauci says Americans could start getting coronavirus vaccines 'very likely before the end of this year' and says he has 'no intention' of leaving his NIH job when President-elect Biden takes office. Good. https://t.co/aBlHJ312lf,1,1
120,"Sitting in the pub next spring like.... ""vaccine had a few unknown side effects but fuck its good to get back to normal"" #Covid_19 #vaccine #COVID19 #CovidVaccine https://t.co/gHf1p5MrRv",2,2
121,I envy to Singapore they got Pfizer covid vaccine 😖,2,0
122,Really ? An experimental vaccine which puts coronavirus RNA into the patient ? That hasn't ever been attempted before. What could go wrong ? #GMO humans ? No thanks. Storage prob too as it has to be kept at -80C. https://t.co/5xqKVKHARk,0,0
123,Coronavirus vaccine? Tbh i don’t care just let everything go back to normal.,2,1
124,"We will have more then 4 vaccines soon. Pfizer, Moderna, Astrazenica &amp; Covaxin. https://t.co/dSDudA4vtz",1,1
125,"@1020SIYA Screw the vaccine, Imma take covid the way I am for  F9",0,0
126,"@expressionessd1 Yes, if I am offered it.

I'd rather take my chances with a tested vaccine than with Covid19.",2,1
127,"@teslaownerssv Recipe for disaster in 2021:  Vaccine is effective and safe.  (btw nothing is 100%), but within the realm of medicine safe/effective.  But we don't get critical mass of vaccinations required to ELIMINATE covid.  In 6 months - pandemic is on a rampage-we start over....again",2,0
128,"@BobbyHatePants @iamdenajo @lawd_flvcko @woodhouseb @SteveRattner Clearly the problem is always gonna be Democrats, Obama and Clinton.  I mean isn’t it Obama’s fault for not finding a vaccine for Covid and Biden’s daily for not mandating masks in the country? 🤷🏻‍♂️",1,0
129,@RepsForBiden I will take a coronavirus vaccine every day for the rest of my life if it protects me from the virus.,2,1
130,"Who's willing to be the US won't do the same?  RT  COVID-19 vaccines will be free for all in Portugal, says health minister - Reuters  https://t.co/TDu3KtTJD3",1,1
131,"Once a COVID-19 vaccine is ready, it should be free and accessible to all Americans.",2,1
132,"The Trump Admin has moved to hoard future COVID-19 vaccines. Medical nationalism has happened before. 70 yrs ago, the discovery and, development of #antibiotics saw the United States weaponizing control of pharmaceutical pipelines. #science #AMR https://t.co/1qWQLL6p8r https://t.co/Dd8dHN4KuZ",1,1
133,"I had launched my Kickstarter for Togo and Balto memorial pins along with a little info card and how they saved a town and local villages and pushed for the need to make a diphtheria vaccine nationwide.

What a coincidence https://t.co/QCSNEjD05p https://t.co/YVpqQVv9sW",0,2
134,"ME: ""I refuse to take the Mark of the Beast COVID-19 vaccine.""

DEMOCRAT: ""But you won't have a choice in the matter.""

ME: ""Whaddaya mean I won't have a choice in the matter? MY body, MY choice.""",0,0
135,"@hitaskunk @charlesadler Well, it’ll be a few months before they make make the coronavirus vaccine available to regular Canadians. I will wait and see...",1,1
136,Does Jacob Rees-Mogg hold shares in AstraZeneca? Asking for... reasons.,0,1
137,"Want us to trust you and the vaccine? Have cameras follow u every day up until after you get the second dose we can make sure it actually safe. 
""Obama, Bush and Clinton say they will take the COVID-19 vaccine publicly to gain public trust""  https://t.co/29RkRRq5YR",0,1
138,"""I'm a little surprised we don't have a website with the CDC where people can register their interest in getting a vaccine,"" @BillGates tells @andrewrsorkin at #DealBook2020. #covid19",1,0
139,Secretary of health says Coronavirus vaccine could be in Arkansas in 1-2 weeks https://t.co/eOpo2UO7SS,1,1
140,"Gold futures on MCX (Multi Commodity Exchange of India) fell by as much as Rs 2,566 per 10 grams, within minutes of the news that COVID-19 vaccine trials of Pfizer were successful.

#TheAssamTribune #GoldPriceDrop #CoronaVirusUpdates 

@pfizer @nsitharaman https://t.co/AWk6P3taSL",1,1
141,"I don’t care who tf you voted for. If this goes through the proper scientific/medical procedures, like every other vaccine we take, and is backed by science and scientists don’t fight it. We all should be happy with this news. https://t.co/ZCo9kyZ1Df",2,0
142,"@kirstiealley This is the 7TH coronavirus to hit humans, we never developed a vaccine for the previous 6. Most vaccines take 7-20 years to develop. Big pharma is protected from an injury/death you might experience from the first ""Test"" vaccine. #covidhoax @drmichaelbb  @DrButtar @TonyRobbins",0,0
143,$MRNA 155 LONG The Canadian government has doubled its order commitment for Moderna's COVID-19 vaccine from 20 million to 40 million doses. FDA regulatory approval is expected to be granted on December 17th.,1,1
144,"1% of the world's population but with 10% of the world's supply of Covid-19 vaccine. We still got it, #JohnMajor, we still go it.",1,1
145,Thank you to all community pharmacy teams for your incredible effort in delivering the important protection of a flu vaccine to so many people. Very proud of your achievements and we hope pharmacists will also have a role to play in delivering a COVID-19 vaccine in due course https://t.co/sCOaC3oapz,2,2
146,SAP picked by Moderna to help distribute COVID-19 vaccine candidate  https://t.co/52cnKOltSk,1,1
147,"So take a vaccine that's 95% effective for a virus that has a 99% survival rate?

No thanks! https://t.co/c8KF57jSMq",0,0
148,"If this holds up, this is AMAZINGLY good news: Pfizer's initial coronavirus vaccine trial results indicate it is over 90% effective, more than anyone hoped for, and with low side effects. https://t.co/kx5N3sw4gD",2,2
149,"@kylesev With respect, that’s the kind of dangerous scaremongering that anti-vaxxers engage in.

As I have shown, we’ve been using vaccines for over 200 years now, we’ve successfully developed vaccines for dozens of diseases, and every precaution is being taken with COVID-19 vaccines.",2,1
150,"Fake news! Here's what Bolsonaro actually said: ""Pfizer says they not responsible for any side effects (from the vax). If you become an alligator, it is your problem."" Why not, Pfizer?!  https://t.co/pKsYFpD1q5 #FoxNews",0,0
151,"@realDonaldTrump @NYGovCuomo ""The Trump Administration has produced a great and safe VACCINE"" By the way, #Pfizer did that with a German lab #BioNTech without any funds from US except for its distribution.",2,1
152,"Such a groundbreaking day! Finally after nearly a year since CoronaVirus first was discovered, we now might be on the way to having a vaccine sooner than we thought! 
Huge respect to all the volunteers who trialed this vaccine! Your works paid off 💕💕 https://t.co/KpbUcUwAdb",2,2
153,This is HUGE news 👏🏻 and if you think it isn’t because ‘the human body is 99% effective though’ .. then you do not understand statistics or the impact of a vaccine on said statistics #Covid_19 https://t.co/t6uKww6ZbQ,2,2
154,Let’s be completely honest... The media will give Biden 100% credit for the Covid vaccine that was created under Trump admin. #fact https://t.co/pIik3nbd04,1,0
155,"But according to press conferences/releases GPs are expected to deliver the Covid vaccine 12 hours a day 7 days a week including BHs (with targets) essentially at cost?  

(No actual letter yet...) https://t.co/L4imMSpWUD",1,1
156,"The CEO of Pfizer hasn't taken his own vaccine, he doesn't want to cut in line! Hahahaha...Whatever!!!!",0,0
157,The vaccine will end this limbo? fingers crossed. #test4travel #liftthetravelban #LoveIsNotTourism https://t.co/cy6XJAzay6,2,1
158,"@simsy1977 I have been to work every day in contact with at least 50 ppl per day. carrying on as normal, visiting family, no mask ever, no app and no one I know have genuinely had covid. But at work ppl are happy for the vaccine 😔, no thank you keep ur vaccine",0,0
159,"Pfizer says its coronavirus vaccine is more than 90% effective

https://t.co/KTw0LJ1ZIv",1,1
160,"The rich will have already been put to the top of the list for any coronavirus vaccine. After all in their minds the human race can’t do without them, the sooner they find out this is not the case, the sooner 95% of the world’s population will be much, much, much better off👍 https://t.co/dHrq5eizUs",2,2
161,"Matt Gurney: Trudeau Liberals score a quick win on the vaccine, but now comes the hard part.  https://t.co/eW3IXErhdd   Nothing will remove the fact that he killed many people by shitting the bed on many aspects of covid.",1,0
162,@KamalaHarris ms #Harris  what would you do then if President #Trump says to take a #COVID vaccine because dr #Fauci told him?,1,1
163,"fuck me it’s not rocket science - ages 75+, people with underlined health problems and doctors/nurses should get first priority to the vaccine once approved and then filter down- job done 🤦🏻‍♂️ #COVID19",2,0
164,"If and or when they ome up with some sort of VACCINE, it will more than likely Kill more of us than the CORONA.    https://t.co/ZPMzTNWTTR",0,0
165,@piersmorgan Can someone exchange Johnson's covid vaccine for truth drug.,0,0
166,"""This vaccine has a really great safety profile ... absolutely no corners have been cut.""  Infectious disease epidemiologist @mariasundaram sums up what you need to know about the Pfizer-BioNTech vaccine in < 30 mins via @FrontBurnerCBC:  https://t.co/Ys77OukzSy  https://t.co/WOaeriC7YU",2,2
167,"Even after the vaccine for COVID-19 is available, and assuming it's at least 90% effective, what about the anti-vaxxers who'll simply refuse the vaccine?",1,0
168,Increasingly encouraging news on vaccines and therapeutics https://t.co/oTzzJoFH8l,2,2
169,"This is 100% false.  Pfizer's vaccine was not produced through any public funds or with any help from Trump's Operation Warp-Speed.

Hard to believe that Pence would lie, but there you go. https://t.co/r4Rl8BydFJ",1,0
